soz_id,sozum,atara,anlami,anahtar,turu2,gosterim_tarihi
8792,kötülük etmek (yapmak), kötülük etmek yapmak kötülük,"kötü davranmak, zarar vermek:<i> 'Kötülük edeni öldürür veya ayetlerin emrettiği cezalardan birini verir.' -</i>F. R. Atay.",kötülük,Deyim,
8793,"kötülük her kişinin kârı, iyilik er kişinin kârı", kötülük her kişinin kârı iyilik er kişinin kârı er,"iyiliğe karşı iyiliği herkes yapabilir, önemli olan kötülüğe karşı iyilik yapabilmektir.",er,Atasözü,
8794,kötürüm olmak (kalmak), kötürüm olmak kalmak kötürüm,"1) yaşlılık veya sakatlık sebebiyle yürüyememek:<i> 'Mağdurun belinden aşağısını felce uğrattı, bütün hayatı boyunca kötürüm kaldı.' -</i>B. Felek. 2)<i> mec.</i> güçsüz kalmak:<i> 'Acılıyım karım öleli / Kalmışım yarı kötürüm' -</i>B. Necatigil.",kötürüm,Deyim,
8795,"kötürümden aksak, hiç yoktan torlak yeğdir", kötürümden aksak hiç yoktan torlak yeğdir ,"kusurlu da olsa bir şeyin elde bulunması, hiç bulunmamasından daha iyidir.",,Atasözü,
8796,kötüye çekmek, kötüye çekmek kötü,"yanlış, beğenilmeyen bir anlam vermek:<i> 'Ne oldu ki Ömer ağa, dedi. Lafımı yanlış anladın, kötüye çektin?' -</i>S. F. Abasıyanık.",kötü,Deyim,
8797,kötüye kullanmak, kötüye kullanmak kötü,"1) yetkisini yasalara aykırı yolda kullanmak:<i> Görevlerini kötüye kullandılar.</i> 2) birinin iyi davranışından istenilmeyen yolda yararlanmak:<i> 'O benim dinlemekteki sabrımı, saflığımı kötüye kullandı.' -</i>H. R. Gürpınar.",kötü,Deyim,
8798,"köylü, misafir kabul etmeyiz demez, konacak konak yoktur der", köylü misafir kabul etmeyiz demez konacak konak yoktur der etmek demek konmak,kişi bir işi yapmak istemezse doğrudan doğruya yapmam demez de birtakım gerekçeler ileri sürerek bunu gerçekleştirmenin olanağı bulunmadığını söyler.,"etmek, demek, konmak",Atasözü,
8799,köylünün kahve cezvesi karaca amma sürece, köylünün kahve cezvesi karaca amma sürece ,köylünün kahve cezvesi gösterişsizdir ama konukları ağırlamak için sürekli olarak kaynar.,,Atasözü,
8800,kraldan çok kralcı olmak, kraldan çok kralcı olmak kral,birinin davasını ondan çok savunur olmak.,kral,Deyim,
8801,kraliçe gibi, kraliçe gibi kraliçe,"gösterişli ve ağır giyinmiş, güzel (kadın).",kraliçe,Deyim,
8802,krallara layık, krallara layık kral,çok üstün nitelikli şeyleri belirtmek için kullanılan bir söz.,kral,Deyim,
8803,kramp girmek, kramp girmek kramp,kasılmak.,kramp,Deyim,
8804,kredisi düşmek, kredisi düşmek kredi,"güvenilirliği, saygınlığı yitmek.",kredi,Deyim,
8805,kriz geçirmek, kriz geçirmek kriz,"1) bir organda birdenbire fizyolojik değişiklik olmak:<i> 'Zeytinyağı tüccarı kalp krizi geçirdiği günün ertesinde, burada gecelemeye kalkmamıştır herhâlde.' -</i>E. Şafak. 2)<i> mec.</i> bunalım içinde bulunmak.",kriz,Deyim,
8806,kubur sıkmak, kubur sıkmak kubur,"silah atmak, tabanca sıkmak:<i> 'Oğlum, ben karanlığa kubur sıkmam.' -</i>H. R. Gürpınar.",kubur,Deyim,
8807,"kucağı dolu olanın, ocağı yanar", kucağı dolu olanın ocağı yanar kucak olmak ocak yanmak,"geleceği düşünüp gerekli önlemleri alan, geçim sıkıntısı çekmez.","kucak, olmak, ocak, yanmak",Atasözü,
8808,kucağına düşmek, kucağına düşmek kucak,"düşman, felaket, sefalet vb. kötü şeylerin veya durumların içine düşmek, onlarla karşılaşmak.",kucak,Deyim,
8809,kucağına kurulmak, kucağına kurulmak kucak,"kucağına oturmak:<i> 'Ertesi gün aynı saatlerde, beş buçuk yaşındaki gene aynı edayla kuruluvermişti dedesinin kucağına.' -</i>E. Şafak.",kucak,Deyim,
8810,kucağında bulmak, kucağında bulmak kucak,beklemediği bir durumla karşı karşıya kalmak.,kucak,Deyim,
8811,kucaktan kucağa dolaşmak (gezmek), kucaktan kucağa dolaşmak gezmek kucak,"kadın, pek çok kişiyle yasal olmayan ilişkide bulunmak.",kucak,Deyim,
8812,kuğu gibi, kuğu gibi kuğu,"ince uzun, narin (boyun).",kuğu,Deyim,
8813,kukla gibi, kukla gibi kukla,"1) ufak tefek, çelimsiz; 2) kişiliksiz.",kukla,Deyim,
8814,kukumav kuşu gibi, kukumav kuşu gibi kukumav kuşu,"tek başına, kimsesiz:<i> 'Çıkmış, kukumav gibi oraya tünemiş!' -</i>A. İlhan.",kukumav kuşu,Deyim,
8815,kukumav kuşu gibi düşünüp durmak, kukumav kuşu gibi düşünüp durmak kukumav kuşu,çok üzüntülü bir durumda düşünmek.,kukumav kuşu,Deyim,
8816,kul azmayınca Hak yazmaz, kul azmayınca Hak yazmaz azmak yazmak,kişinin başına azgınlığı yüzünden felaket gelir.,"azmak, yazmak",Atasözü,
8817,kul etmek, kul etmek kul,"kendine aşırı derecede bağlamak, boyun eğdirmek:<i> 'Nasıl sevebilirse üç gönül bir tek gülü / Sen de güzelliğine kul edersin üç gönlü' -</i>F. N. Çamlıbel.",kul,Deyim,
8818,kul hatasız olmaz, kul hatasız olmaz olmak,insan yanılmamak için ne kadar dikkat ederse etsin yine yanılır.,olmak,Atasözü,
8819,"kul kullanan, bir gözünü kör, bir kulağını sağır etmeli", kul kullanan bir gözünü kör bir kulağını sağır etmeli kullanmak etmek,"işçi çalıştıran kimse, işin aksamaması için işçinin yaptığı yanlışları her zaman görmemeli, söylediği uygunsuz sözleri işitmemelidir.","kullanmak, etmek",Atasözü,
8820,"kul sıkışmayınca (daralmayınca, bunalmayınca) Hızır yetişmez", kul sıkışmayınca daralmayınca bunalmayınca Hızır yetişmez sıkışmak daralmak bunalmak yetişmek,yardım hep en zor anda gelir.,"sıkışmak, daralmak, bunalmak, yetişmek",Atasözü,
8821,kula kul olmak, kula kul olmak kul,bir kimsenin buyruğu altında bulunmak.,kul,Deyim,
8822,kulağı ağır işitmek, kulağı ağır işitmek kulakI,kulağı iyi işitmemek.,kulak(I),Deyim,
8823,kulağı (bir şeyde) olmak, kulağı bir şeyde olmak kulakI,dikkatini bir şeye vermek.,kulak(I),Deyim,
8824,kulağı dikilmek, kulağı dikilmek kulakI,"konuşulanları dinlemek için dikkat kesilmek:<i> 'Şimdi kulakları, seslerimize dikilmiş bir köpek gibi yatıyordu.' -</i>S. F. Abasıyanık.",kulak(I),Deyim,
8825,kulağı duvar olmak, kulağı duvar olmak kulakI,sağır olmak:<i> 'Kulakları duvar olan ihtiyarla avaz avaz ilişki kurmaya üşenmişler.' -</i>H. Taner.,kulak(I),Deyim,
8826,kulağı kirişte olmak, kulağı kirişte olmak kulağı kirişte,"söylenecek sözü, gelecek haberi sabırsızlıkla beklemek:<i> 'Eski bekçiler ... mahalleyi kollamalı, kim hastadır, kim yatalaktır, kim yüzünü Hazret'e çevirmiş, kimin gözü toprağa bakıyor, bunları bilmeli, kulağı kirişte olmalı.' -</i>R. Akyavaş.",kulağı kirişte,Deyim,
8827,kulağı (kulakları) çınlasın, kulağı kulakları çınlasın kulakI,"konuşulan yerde bulunmayan, sevilen biri anıldığında söylenen bir söz:<i> Kulağı çınlasın, bizim arkadaş öyle derdi.</i>",kulak(I),Deyim,
8828,kulağı okşamak, kulağı okşamak kulakI,kulağa hoş gelmek.,kulak(I),Deyim,
8829,kulağı ters taraftan göstermek, kulağı ters taraftan göstermek kulakI,"kolay yolu varken bir işi daha zor ve uzun yollar kullanarak yapmak:<i> 'Tahkike mahkike, kulağı ters taraftan göstermeye ne lüzum var?' -</i>S. M. Alus.",kulak(I),Deyim,
8830,kulağına çalınmak, kulağına çalınmak kulakI,"başkasına söylenirken kendisi de duymuş olmak:<i> 'Bu gürültüler arasında Vildan'ın bağırarak ve daha ziyade kıymet vererek telaffuz ettiği bazı kelimeler, cümleler kulağıma çalınıyordu.' -</i>P. Safa.",kulak(I),Deyim,
8831,kulağına çarpmak, kulağına çarpmak kulakI,"duyulmak:<i> 'Barın kalabalığı, hareketliliği, çalgısı ve dumanı içinde ortaya atılan bu söz, tam bir isabetle geldi, Ahmet Samim'in kulağına çarptı.' -</i>Y. K. Karaosmanoğlu.",kulak(I),Deyim,
8832,kulağına fısıldamak, kulağına fısıldamak kulakI,"çok alçak ve hafif bir ses tonuyla kulağına eğilip bir şeyler söylemek:<i> 'Evet biliyorum, bunlar kulağına fısıldadılar değil mi?' -</i>A. Ağaoğlu.",kulak(I),Deyim,
8833,kulağına gelmek, kulağına gelmek kulakI,1) kulağına çalınmak; 2) duymak.,kulak(I),Deyim,
8834,kulağına girmemek, kulağına girmemek kulakI,"söylenilen sözlere önem vermemek, söylenenleri anlamamak, benimsememek.",kulak(I),Deyim,
8835,kulağına gitmek, kulağına gitmek kulakI,duymak:<i> 'Olup bitenler kulağına gitse onlardan önce çarkıma okur ya neyse.' -</i>M. Seyda.,kulak(I),Deyim,
8836,kulağına inanmamak, kulağına inanmamak kulakI,"duyduklarının doğruluğundan şüphe etmek:<i> 'Kulaklarıma inanamıyordum, bu kadar narin, bu kadar nahif bir vücutta böyle bir ruh...' -</i>Ö. Seyfettin.",kulak(I),Deyim,
8837,kulağına kar suyu kaçırmak, kulağına kar suyu kaçırmak kulakI,dolaylı olarak duyurmak.,kulak(I),Deyim,
8838,kulağına kar suyu kaçmak, kulağına kar suyu kaçmak kulakI,bir duyum almak.,kulak(I),Deyim,
8839,kulağına koymak (sokmak), kulağına koymak sokmak kulakI,"bir duruma veya söze hazırlamak için önceden kısaca anlatmak, düşünce aşılamak, telkin etmek:<i> 'Bunu Bayram ağanın kulağına koydular.' -</i>H. E. Adıvar.",kulak(I),Deyim,
8840,kulağına küpe olmak (etmek), kulağına küpe olmak etmek kulakI,başa gelen bir durumdan alınan dersi unutmamak:<i> 'Bu sözümü kulağına küpe et kızım!' -</i>R. N. Güntekin.,kulak(I),Deyim,
8841,kulağına söylemek, kulağına söylemek kulakI,fısıldamak.,kulak(I),Deyim,
8842,kulağını açmak, kulağını açmak kulakI,dikkatle dinlemek.,kulak(I),Deyim,
8843,kulak arkası (ardı) etmek, kulak arkası ardı etmek kulakI,"dikkate almamak, göz önünde tutmamak:<i> 'Bazıları hava kirlenmesinde olduğu gibi bu eleştirileri kulak ardı ediyorlar.' -</i>H. Taner.",kulak(I),Deyim,
8844,kulak asmak, kulak asmak kulakI,"önem vermek, dinlemek:<i> 'Bunların sözlerine ne diye kulak asıyor, ona göre yapacağın işi kestiriyorsun?' -</i>M. Ş. Esendal.",kulak(I),Deyim,
8845,kulak kabartmak, kulak kabartmak kulakI,"belli etmemeye çalışarak dinlemek:<i> 'Karanlıkta, uyuyup uyumadığını anlayabilmek için tüm seslere kulak kabartarak yanına uzandım.' -</i>E. Şafak.",kulak(I),Deyim,
8846,kulak kesilmek, kulak kesilmek kulakI,"büyük bir dikkatle dinlemek:<i> 'Çok kızgın bir fikir çarpışmasının üzerine gelmişim, kulak kesildim.' -</i>İ. H. Baltacıoğlu.",kulak(I),Deyim,
8847,kulak kıvırmak, kulak kıvırmak kulakI,domatesin olgunlaşmasını sağlamak için işlem yapmak.,kulak(I),Deyim,
8848,kulak (kulağını) tırmalamak, kulak kulağını tırmalamak kulakI,kulağı rahatsız etmek:<i> 'Evde kimse yoktu sözü kulağını tırmaladı.' -</i>M. Ş. Esendal.,kulak(I),Deyim,
8849,kulak misafiri olmak, kulak misafiri olmak kulak misafiri,yanında konuşulanları konuşmaya katılmadan dinlemek:<i> 'Her önünden geçtiğim insanın söylediklerine kulak misafiri oluyorum.' -</i>O. V. Kanık.,kulak misafiri,Deyim,
8850,kulak tutmak, kulak tutmak kulakI,"dinlemek, işitmek istemek.",kulak(I),Deyim,
8851,kulak vermek, kulak vermek kulakI,"merak edip dinlemek, işitmeye çalışmak:<i> 'Eğil de kulak ver, bu sessiz yığın / Bir vatan kalbinin attığı yerdir' -</i>N. H. Onan.",kulak(I),Deyim,
8852,kulakları dolmak, kulakları dolmak kulakI,aynı şeyi dinlemekten usanmak.,kulak(I),Deyim,
8853,kulakları paslanmak, kulakları paslanmak kulakI,çoktan beri müzik dinlememiş olmak.,kulak(I),Deyim,
8854,kulakları patlatmak, kulakları patlatmak kulakI,"Gürültüyle rahatsız etmek:<i> 'Kulakları patlatan bir ses bütün ormanı, bütün kuşları, bütün dünyayı susturdu.' -</i>M. Ş. Esendal.",kulak(I),Deyim,
8855,kulaklarına kadar kızarmak, kulaklarına kadar kızarmak kulakI,çok utanmak.,kulak(I),Deyim,
8856,kulaklarını dikmek, kulaklarını dikmek kulakI,hayvan dikkat kesilmek.,kulak(I),Deyim,
8857,kulaklarının pasını gidermek, kulaklarının pasını gidermek kulakI,çoktan beri dinlememişken müzik dinlemek.,kulak(I),Deyim,
8858,"kulaktan burun yakın, kardeşten karın yakın", kulaktan burun yakın kardeşten karın yakın ,insanın kendi yararı her şeyden önemlidir.,,Atasözü,
8859,kulis yapmak, kulis yapmak kulis,1) herhangi bir toplulukta oturumlar dışında gizli çalışmalar yapmak; 2) bir amaca ulaşabilmek için ilgili kişiler arasında özel çalışma yapmak.,kulis,Deyim,
8860,kulp takmak, kulp takmak kulp,"bir kimseyi, bir şeyi kusurlu göstermek için bahane, kusur bulmak:<i> 'Başa çıkılmaz kötülerle, her meziyete kulp takarlar.' -</i>C. Meriç.",kulp,Deyim,
8861,kulpunu bulmak, kulpunu bulmak kulp,"yapılacak uygunsuz bir iş için, yasallığı tartışılabilecek bir çözüm yolu bulmak:<i> 'Öbür seferler arkasında Servet Bey vardı; bir kulpunu bulur, uzattırıverirdi mühletleri.' -</i>Y. K. Karaosmanoğlu.",kulp,Deyim,
8862,kuluçka olmak, kuluçka olmak kuluçka,dişi kuş yumurtaya yatma zamanı gelmek.,kuluçka,Deyim,
8863,kuluçkaya oturmak (yatmak), kuluçkaya oturmak yatmak kuluçka,genellikle dişi kuş yavru çıkarmak için yumurtaların üzerine yatmak.,kuluçka,Deyim,
8864,kulun atmak, kulun atmak kulun,kısrak veya eşek yavru düşürmek.,kulun,Deyim,
8865,kulunç girmek, kulunç girmek kulunç,"bir organda veya vücut bölgesinde birdenbire veya şiddetli sancı oluşmak, tutulmak:<i> 'Ayağıma fena kulunç girdi diye topallayarak onları takip etti.' -</i>B. Felek.",kulunç,Deyim,
8866,kulunç kırmak, kulunç kırmak kulunç,ağrıyan yeri ovmak.,kulunç,Deyim,
8867,kum dökmek, kum dökmek kum,idrar yoluyla böbreklerde oluşan kum taneciklerini vücuttan atmak.,kum,Deyim,
8868,kum gibi, kum gibi kum,pek çok.,kum,Deyim,
8869,"kuma gemisi yürümüş, elti gemisi yürümemiş", kuma gemisi yürümüş elti gemisi yürümemiş yürümek,bir erkeğin karıları birbirleriyle anlaşabilirler ancak kardeşlerin karıları geçinemezler.,yürümek,Atasözü,
8870,kumar oynamak, kumar oynamak kumar,1) ortaya para koyarak talih oyunu oynamak:<i> 'Kazanacağından emin olmadıkça kumar oynamak deliliktir.' -</i>A. İlhan. 2)<i> mec.</i> olumlu sonuçlanması şüpheli olan bir işe bile bile girişmek.,kumar,Deyim,
8871,kumarda kaybeden aşkta kazanır, kumarda kaybeden aşkta kazanır kaybetmek kazanmak,"halk arasındaki inanca göre kumar oynayan ve parasını kaybeden biri üzülmemelidir, böyleleri aşkta şanslıdırlar.","kaybetmek, kazanmak",Atasözü,
8872,kumda oynamak, kumda oynamak kum,bir fırsat kaçırarak umulanı elde edememek.,kum,Deyim,
8873,kumpas kurmak, kumpas kurmak kumpas,"gizli bir iş, hile, düzen hazırlamak:<i> 'Üç kişi burada gizli gizli ne kumpaslar kuruyorsunuz bakayım?' -</i>O. C. Kaygılı.",kumpas,Deyim,
8874,kumpasa dâhil olmak, kumpasa dâhil olmak kumpas,"hileli bir işe ortak olmak:<i> 'Samimi bir acıma hissiyle mi, yoksa o çok değerli elmas broşun sahibi olmak için mi bu kumpasa dâhil olduğuna karar verememişti.' -</i>A. Kulin.",kumpas,Deyim,
8875,kumpasa gelmek, kumpasa gelmek kumpas,hile ile kandırılmak.,kumpas,Deyim,
8876,kumru gibi, kumru gibi kumru,"kendi dünyasına çekilmiş:<i> 'Başlarını dinlerler, kumru gibi yuvalarında oturur, şunun bunun aleyhinde konuşmazlar.' -</i>B. Felek.",kumru,Deyim,
8877,kundak sokmak (koymak), kundak sokmak koymak kundakII,1) yangın çıkarmak için bir yere tutuşmuş yağlı bez parçası koymak; 2)<i> mec.</i> ara bozacak bir söz söylemek veya böyle bir davranışta bulunmak.,kundak(II),Deyim,
8878,kupkuru kesilmek, kupkuru kesilmek kupkuru,çok kurumak:<i> '... ağzım kupkuru kesildi.' -</i>Y. K. Karaosmanoğlu.,kupkuru,Deyim,
8879,kur yapmak, kur yapmak kurII,"1) karşı cinsten birine ilgi göstererek onun hoşuna gitmek, gönlünü kazanmaya çalışmak:<i> 'Hepsi de aynı yavan, tatsız sözlerle kur yapacaklardı.' -</i>H. C. Yalçın. 2) birinin duygularını okşayacak biçimde davranarak onu elde etmeye çalışmak:<i> 'Muhtaç hemşehrilerin bir kısmı etrafımda dolaşmaya, bana kur yapmaya başladılar.' -</i>R. N. Güntekin.",kur(II),Deyim,
8880,kurabiye gibi, kurabiye gibi kurabiye,"çok gevrek, ağızda dağılıveren (yiyecek).",kurabiye,Deyim,
8881,kurban etiyle köpek tavlanmaz, kurban etiyle köpek tavlanmaz tavlanmak,"kimi şeyler, yararlı da olsa herkese verilmez.",tavlanmak,Atasözü,
8882,kurban gitmek, kurban gitmek kurban,"suçsuz yere ölmek, zarara uğramak:<i> 'Muhakkak bir ihanete kurban gitmiştir.' -</i>F. F. Tülbentçi.",kurban,Deyim,
8883,kurban olayım!, kurban olayım! kurban,"1) aşırı sevgi ve hayranlık anlatan bir söz:<i> Kurban olayım, ne güzel memleket!</i> 2) yalvarma sözü:<i> 'Çatma, kurban olayım çehreni ey nazlı hilal.' -</i>M. A. Ersoy.",kurban,Deyim,
8884,kurban vermek, kurban vermek kurban,can kaybına uğramak:<i> 'Arada bizim gibi birkaç kurban verilebilir.' -</i>F. R. Atay.,kurban,Deyim,
8885,kurbanlık koyun gibi, kurbanlık koyun gibi kurbanlık,"başına geleceklerden habersiz olan:<i> 'Kâh yollarda tabur olmuş yürüyorlar, kâh garlarda, istasyonlarda kurbanlık koyun gibi bekleşip duruyorlardı.' -</i>Y. K. Karaosmanoğlu.",kurbanlık,Deyim,
8886,kurcalama sivilceyi (sivilceyi kurcalama) çıban edersin, kurcalama sivilceyi sivilceyi kurcalama çıban edersin kurcalamak etmek,"küçük bir sorunu çok kurcalar, çok deşerseniz başınıza büyük dert açarsınız.","kurcalamak, etmek",Atasözü,
8887,"kurda konuk (komşu) giden, köpeğini yanında götürür", kurda konuk komşu giden köpeğini yanında götürür kurt gitmek köpek götürmek,"saldırgan biriyle karşılaşacak olan kişi, kendisini koruyacak önlemler almalıdır.","kurt, gitmek, köpek, götürmek",Atasözü,
8888,"kurda 'neden boynun (ensen) kalın?' demişler, 'işimi kendim görürüm de ondan' demiş", kurda neden boynun ensen kalın? demişler işimi kendim görürüm de ondan demiş kurt boyun demek iş görmek,"işini başkasına inanmayarak kendisi yapan, üzülmez, rahat eder.","kurt, boyun, demek, iş, görmek",Atasözü,
8889,kurdele kesmek, kurdele kesmek kurdele,1) tesis veya kuruluşun açılış töreninde gerilen şeridi iyi dileklerle kesmek; 2) herhangi bir amaçla bağlanmış olan şeridi kesip ayırmak:<i> Nişan töreninde kırmızı kurdele kestik.</i>,kurdele,Deyim,
8890,kurdele takmak, kurdele takmak kurdele,"okulda belli bir konudaki başarıyı belirtmek üzere öğrenci giysisinin yakasına renkli, özel bir şerit takmak.",kurdele,Deyim,
8891,"kurdun adı yaman çıkmış, tilki vardır (tilkicik var) baş keser", kurdun adı yaman çıkmış tilki vardır tilkicik var baş keser kurt ad çıkmak kesmek,"öylesine sinsi ve kurnaz kimseler vardır ki adı zalime, haine ve kötüye çıkmış kimselerden daha tehlikelidirler.","kurt, ad, çıkmak, kesmek",Atasözü,
8892,kurdun oğlu akıbet kurt olur, kurdun oğlu akıbet kurt olur kurt oğul olmak,"kişi sonunda kendi karakterini, aslını, düşüncesini atalarına benzer biçimde ortaya koyar.","kurt, oğul, olmak",Atasözü,
8893,kurdunu (kurtlarını) dökmek (kırmak), kurdunu kurtlarını dökmek kırmak kurtII,çoktan beri özlediği bir şeyi bol bol yapıp hevesini almak:<i> 'Daha sonra Paris'te kurtlarını dökmeye gelen her milletten insanlara rastladık.' -</i>B. R. Eyuboğlu.,kurt(II),Deyim,
8894,kurşun atmak, kurşun atmak kurşun,"1) silahla mermi atmak:<i> 'Yarın, öbür gün Arap çeteleri ile sarılacaksınız, Peygamberin yeşil kubbesine kurşun atacaklar.' -</i>F. R. Atay. 2)<i> mec.</i> düşmanlık etmek.",kurşun,Deyim,
8895,kurşun dokunmak, kurşun dokunmak kurşun,mermi isabet etmek:<i> 'Suriye'de bel kemiğine bir kurşun dokunmuştu.' -</i>Ö. Seyfettin.,kurşun,Deyim,
8896,kurşun dökmek, kurşun dökmek kurşun,"halk inanışına göre erimiş kurşunu, hastanın üstünde, içinde su bulunan bir kaba dökerek ortaya çıkan şekillerin yorumuyla nazar, büyü, hastalık vb. şeyleri önlemek, iyileştirmek.",kurşun,Deyim,
8897,kurşun gibi, kurşun gibi kurşun,1) katlanması zor bir biçimde:<i> 'Gurbet acısı kurşun gibi içine çökmüştü şimdi.' -</i>H. Taner. 2) sıkıntı veren; 3) çok ağır.,kurşun,Deyim,
8898,kurşun manyağı yapmak, kurşun manyağı yapmak kurşun,<i> argo</i> ölümle tehdit etmek.,kurşun,Deyim,
8899,kurşun sıkmak, kurşun sıkmak kurşun,"silahı ateşlemek, mermi yakmak:<i> 'Az bir sürede bütün köy bu kurşunları sıkanın Hasan olduğunu öğrendi.' -</i>Y. Kemal.",kurşun,Deyim,
8900,kurşun yağdırmak, kurşun yağdırmak kurşun,çok sayıda kurşun atmak.,kurşun,Deyim,
8901,kurşun yemek, kurşun yemek kurşun,"vurulmak:<i> 'Kurşunu yer yemez, kayalardan aşağı yuvarlanmış leşi, ta derenin kucağına!' -</i>T. Oflazoğlu.",kurşun,Deyim,
8902,kurt ağzı bağlamak, kurt ağzı bağlamak kurtI,açıkta kalan hayvanların kurt tarafından boğulmasını önleme amacıyla çeşitli uygulamalar yapmak.,kurt(I),Deyim,
8903,kurt dumanlı havayı sever, kurt dumanlı havayı sever sevmek,kötü niyetli kimselerin ortalıktaki karışıklıklardan yararlanırlar.,sevmek,Atasözü,
8904,kurt gibi, kurt gibi kurtI,"işini bilen, girişken (kimse).",kurt(I),Deyim,
8905,kurt kocayınca köpeğin maskarası olur, kurt kocayınca köpeğin maskarası olur kocamak köpek olmak,"güç ve yeteneğini yitiren insan, basit ve kendini bilmezlerce aşağılanır.","kocamak, köpek, olmak",Atasözü,
8906,kurt komşusunu yemez, kurt komşusunu yemez yemek,bir kişi ne kadar kötü niyetli de olsa yakınlarına dokunmaz.,yemek,Atasözü,
8907,"kurt köyünü (tüyünü) değiştirir, huyunu değiştirmez", kurt köyünü tüyünü değiştirir huyunu değiştirmez değiştirmek,kötü kimse yer yurt değiştirse de kötü huylarını değiştirmez.,değiştirmek,Atasözü,
8908,kurtla görüşürsen köpeği yanından ayırma, kurtla görüşürsen köpeği yanından ayırma görüşmek köpek ayırmak,"saldırgan biriyle karşılaşacak olan kişi, kendisini koruyacak önlemler almalıdır.","görüşmek, köpek, ayırmak",Atasözü,
8909,"kurtla koyun, kılıçla oyun olmaz", kurtla koyun kılıçla oyun olmaz olmak,saldırıcı ile güçsüzün yan yana bulunduğu yerde tehlike vardır.,olmak,Atasözü,
8910,"kurtla ortak olan tilkinin hissesi, ya tırnaktır ya bağırsak", kurtla ortak olan tilkinin hissesi ya tırnaktır ya bağırsak ,ortağı güçlü ve hileci olan kimse ortağının kendisine vereceği işe yaramaz paya razı olmak zorundadır.,,Atasözü,
8911,kurtlu baklanın kör alıcısı olur, kurtlu baklanın kör alıcısı olur olmak,işe yaramaz da olsa her şeyin isteklisi bulunur.,olmak,Atasözü,
8912,kuru başına kalmak, kuru başına kalmak kuru,"hayatında veya yanında kimsesi kalmamak, kimsesiz, yalnız kalmak.",kuru,Deyim,
8913,kuru gayret çarık eskitir, kuru gayret çarık eskitir eskitmek,bir iş rastgele bir çabayla değil amaca doğru planlı bir biçimde yürümekle başarılır.,eskitmek,Atasözü,
8914,kuru gürültüye pabuç bırakmamak, kuru gürültüye pabuç bırakmamak kuru gürültü,"bir durum karşısında telaşsız, korkusuz, dilediğince davranmak:<i> 'Köse Mümeyyiz öyle denemeden kuru gürültüye pabuç bırakır takımından değildi.' -</i>Ö. Seyfettin.",kuru gürültü,Deyim,
8915,kuru hasır (kilim) üstünde kalmak, kuru hasır kilim üstünde kalmak kuru,"aç, parasız, evsiz kalmak.",kuru,Deyim,
8916,kuru laf karın doyurmaz, kuru laf karın doyurmaz doyurmak,boş sözlerle olumlu iş yapılamaz.,doyurmak,Atasözü,
8917,kuru tahtada kalmak, kuru tahtada kalmak kuru,"eşyası elinden gitmek, çıplak evde oturma durumunda kalmak.",kuru,Deyim,
8918,kuruda kalmak, kuruda kalmak kuru,deniz alçaldığında gemi karaya oturmak.,kuru,Deyim,
8919,kurum kurum kurumlanmak (kurulmak), kurum kurum kurumlanmak kurulmak kurumIII,"büyüklenmek, böbürlenmek.",kurum(III),Deyim,
8920,kurum satmak, kurum satmak kurumIII,"böbürlenmek, büyüklenmek:<i> 'Senin kıratında bir tane daha bulsun da kurumunu ona satsın.' -</i>S. M. Alus.",kurum(III),Deyim,
8921,kuruntuya kapılmak, kuruntuya kapılmak kuruntu,boş yere tasalanmak.,kuruntu,Deyim,
8922,kurunun yanında yaş da yanar, kurunun yanında yaş da yanar yanmak,beğenilmeyen tutumlarından dolayı cezalandırılan kişiler yanında suçsuzlar da suçlular gibi hırpalanırlar.,yanmak,Atasözü,
8923,kurusıkı atmak, kurusıkı atmak kurusıkı,<i> argo</i> palavra atmak.,kurusıkı,Deyim,
8924,kusur bulmak, kusur bulmak kusur,"1) bir şeyin özrünü görmek; 2) gereğinden çok titiz ve hoşgörüsüz davranmak:<i> 'Nesine itiraz ederseniz ediniz, boyun bağına, pantolonun ütüsüne kusur bulamazsınız.' -</i>H. E. Adıvar.",kusur,Deyim,
8925,kusur etmek, kusur etmek kusur,yanlışlık yapmak:<i> 'Sana karşı olan vazifelerimde kusur mu ediyorum?' -</i>A. M. Dranas.,kusur,Deyim,
8926,kusur etmemek, kusur etmemek kusur,hoş karşılanmayacak bir davranışta bulunmamak:<i> 'Saygıda kusur etmemek için âdeta birbirleriyle yarış ediyorlardı.' -</i>F. F. Tülbentçi.,kusur,Deyim,
8927,kusur işlemek, kusur işlemek kusur,yanlış davranışta bulunmak.,kusur,Deyim,
8928,kusura bakmamak (kalmamak), kusura bakmamak kalmamak kusur,"hoş görmek:<i> 'Kusura bakma, hatırını soramadım.' -</i>S. F. Abasıyanık.",kusur,Deyim,
8929,kusursuz dost arayan dostsuz kalır, kusursuz dost arayan dostsuz kalır aramak kalmak,"kusursuz kişi olmadığından, kendisine kusursuz bir dost arayan kimse aradığını bulamaz, dostsuz kalır.","aramak, kalmak",Atasözü,
8930,kusursuz güzel olmaz, kusursuz güzel olmaz olmak,"her iyi şeyin hoşa gitmeyen bir yönü, her güzelin kusurlu bir tarafı vardır.",olmak,Atasözü,
8931,kuş gibi, kuş gibi kuş,"1) çok hafif; 2) çabuk iş gören, eline ayağına çabuk.",kuş,Deyim,
